번호,사무소명,사무소주소,영업현황
68,배재로공인중개사사무소,"대전광역시 서구 도마로19번길 3, 1층(도마동)",영업중
69,서구공인중개사사무소,대전광역시 서구 갈마로117번길 36(갈마2동),영업중
70,장성운공인중개사사무소,"대전광역시 서구 둔산중로78번길 30, 601호(둔산1동,법조빌딩)",영업중
71,호야공인중개사사무소,"대전광역시 서구 둔산중로78번길 36, 403호(둔산1동,청우빌딩)",영업중
72,부동산마루공인중개사사무소,"대전광역시 서구 둔산로 15, 상가 113호(둔산2동,향촌(아))",영업중
73,새우리공인중개사사무소,대전광역시 서구 장안로 2(흑석동),영업중
74,관저마을공인중개사사무소,"대전광역시 서구 관저북로 71, 1층 113호(관저1동,원앙쇼핑)",영업중
75,리치온공인중개사사무소,"대전광역시 서구 월평새뜸로4번길 63, 101호(월평동)",영업중
76,스타공인중개사사무소,"대전광역시 서구 대덕대로 319, 114호 (월평2동, 우림필유)",영업중
77,장수공인중개사사무소,"대전광역시 서구 변동로 75, 102호(변동)",영업중
78,황토맑은아침공인중개사사무소,"대전광역시 서구 갈마로 262, 상가503동 103호(내동, 맑은아침아파트)",영업중
79,신택리지공인중개사사무소,대전광역시 서구 도솔로252번길 4(내동),영업중
80,명동공인중개사사무소,"대전광역시 서구 탄방로 10, 104호(탄방동, 미드림)",영업중
81,다복부동산중개사무소,대전광역시 서구 도마6길 4(도마동),영업중
82,신가원공인중개사사무소,"대전광역시 서구 제비네4길 93, 1층(도마동)",영업중
83,백합플러스공인중개사사무소,"대전광역시 서구 청사서로 41, 상가114호(월평2동,백합(아))",영업중
84,신성공인중개사사무소,대전광역시 서구 신갈마로 142-6(갈마1동),영업중
85,목련타운공인중개사사무소,"대전광역시 서구 둔산남로 127, 중앙상가 101호(둔산1동,목련(아))",영업중
86,반석부동산프라자공인중개사사무소,"대전광역시 서구 둔산중로 38, 116호(둔산동, 둔산메트로존)",영업중
87,리치빌공인중개사사무소,"대전광역시 서구 둔산중로 40, 둔산더리치빌 1층 114호, 115호 (둔산1동)",영업중
88,관저느리울부자공인중개사사무소,"대전광역시 서구 관저로 176, 103호(관저동)",영업중
89,뉴한솔공인중개사사무소,대전광역시 서구 도솔로 115(도마1동),영업중
90,만호공인중개사사무소,대전광역시 서구 괴정로 97-1(괴정동),영업중
91,리치월드공인중개사사무소,"대전광역시 서구 둔지로 52, 101호 (둔산2동, 갤러리빌7차)",영업중
92,즐거운 공인중개사사무소,"대전광역시 서구 대덕대로162번길 51, 101호(갈마2동,덕수빌딩)",영업중
93,갤러리공인중개사사무소,"대전광역시 서구 도산로 190, 14호(변동)",영업중
94,경민공인중개사사무소,"대전광역시 서구 용소로12번길 6-8, 1층 103호(도안동)",영업중
