번호,사무소명,사무소주소,영업현황
280,달인공인중개사사무소,"대전광역시 서구 도솔로411번길 40, 102-1호(탄방동, 갤러리빌6차)",영업중
281,관저114공인중개사사무소,"대전광역시 서구 관저동로90번길 47, 주상가동 105호 (관저2동, 느리울마을(아))",영업중
282,모닝빌공인중개사사무소,"대전광역시 서구 도마로 60, 상가동 8호 (도마1동, 삼정하이츠)",영업중
283,일출공인중개사사무소,대전광역시 서구 도산로 155(변동),영업중
284,한우리공인중개사사무소,"대전광역시 서구 계룡로571번길 65, 상가 104호(탄방동, 산호(아))",영업중
285,느리울11단지공인중개사사무소,"대전광역시 서구 관저동로90번길 47, 주상가동 106호(관저2동,느리울마을(아))",영업중
286,도안복공인중개사사무소,"대전광역시 서구 도안북로93번길 11, 111호(도안동, 에프엠프라임4차빌딩)",영업중
287,복있는공인중개사사무소,"대전광역시 서구 월평로 2, 1층(월평1동)",영업중
288,동화공인중개사사무소,"대전광역시 서구 계룡로264번길 4, 상가 106호 (월평1동, 월평타운)",영업중
289,우정공인중개사사무소,"대전광역시 서구 문예로 16, 상가 114호(탄방동, 한가람(아))",영업중
290,김성도공인중개사사무소,"대전광역시 서구 만년로67번길 34-14, 가동 1층(만년동,아카디아)",영업중
291,기업부동산공인중개사사무소,"대전광역시 서구 도산로 401, 1층(탄방동)",영업중
292,OK해뜬공인중개사사무소,"대전광역시 서구 도솔로 18-1, 1층 좌측상가(도마동)",영업중
293,공간공인중개사사무소,대전광역시 서구 도산로370번길 48(용문동),영업중
294,다나와공인중개사사무소,"대전광역시 서구 월평서로25번길 51, 1층 102호(월평동)",영업중
295,관저풍년공인중개사사무소,"대전광역시 서구 구봉산북로21번길 32-6, 201호(관저동)",영업중
296,연세공인중개사사무소,"대전광역시 서구 동서대로 1016, 1층(내동)",영업중
297,피터팬좋은집구하기공인중개사사무소,대전광역시 서구 계룡로 562(괴정동),영업중
298,현진랜드공인중개사사무소,"대전광역시 서구 복수동로 21-20, 상가 109호(복수동,초록마을2단지)",영업중
299,우성타운공인중개사사무소,"대전광역시 서구 정림로 54, 1층",영업중
300,금성백조공인중개사사무소,"대전광역시 서구 도안북로 125, 상가104호(도안동,예미지(아))",영업중
301,신신공인중개사사무소,"대전광역시 서구 문예로 16, 상가104호(탄방동,한가람(아))",영업중
302,새부자공인중개사사무소,"대전광역시 서구 둔산로206번길 25, 1층 (둔산3동)",영업중
303,더샵OK공인중개사사무소,"대전광역시 서구 탄방로 104, 1층 (용문동)",영업중
304,갈마랜드공인중개사사무소,"대전광역시 서구 신갈마로 110-9, 102호 (갈마1동)",영업중
305,호원공인중개사사무소,"대전광역시 서구 월평로 89, 102호 (월평1동)",영업중
306,더프라임공인중개사사무소,"대전광역시 서구 대덕대로195번길 58, 115호",영업중
307,뉴한마음공인중개사사무소,"대전광역시 서구 괴정로 199, 1층 104호(용문동, 동양빌리지)",영업중
308,크로바공인중개사사무소,"대전광역시 서구 둔산로 155, 상가 114호 (둔산1동, 크로바(아))",영업중
309,흑석공인중개사사무소,대전광역시 서구 벌곡로 647(흑석동),영업중
310,다복공인중개사사무소,"대전광역시 서구 갈마역로 14, 1층 103호(둔산동, 하이스트빌)",영업중
311,롯데수지공인중개사사무소,"대전광역시 서구 용문로 53-1, 102호(괴정동)",영업중
312,태화공인중개사사무소,"대전광역시 서구 구봉산북로280번길 10-10, 102호(관저동)",영업중
313,제현공인중개사사무소,대전광역시 서구 계룡로562번길 34(괴정동),영업중
314,도안뜰부동산공인중개사사무소,"대전광역시 서구 도안중로 306, 102호(도안동,도안빌딩)",영업중
315,관저포스코더샵공인중개사사무소,"대전광역시 서구 관저서로 19, 단지내상가 104호(관저동, 관저더샵아파트)",영업중
316,성도공인중개사사무소,대전광역시 서구 괴정로 3(괴정동),영업중
317,오렌지공인중개사사무소,"대전광역시 서구 도솔로412번길 10, 1층 좌측(탄방동)",영업중
318,창성공인중개사사무소,"대전광역시 서구 괴정로 60, 1층(괴정동)",영업중
319,뉴스공인중개사사무소,"대전광역시 서구 둔산로 32-17, 1층 (둔산2동)",영업중
320,사거리행복한공인중개사사무소,대전광역시 서구 도산로 122(도마1동),영업중
321,개구리공인중개사사무소,"대전광역시 서구 도학3길 33, 1층(도마동)",영업중
322,목련나라공인중개사사무소,"대전광역시 서구 둔산남로 127, 분산상가 103호 (둔산1동, 목련(아))",영업중
323,금빛예미지공인중개사사무소,"대전광역시 서구 도안북로 125, 상가101호(도안동,예미지(아))",영업중
324,돌터공인중개사사무소,"대전광역시 서구 도산로 342, 1층(용문동)",영업중
325,강산공인중개사사무소,"대전광역시 서구 관저남로 24, 1층 103호(관저동)",영업중
326,농도원조은공인중개사사무소,대전광역시 서구 도산로 120(도마1동),영업중
327,린풀공인중개사사무소,"대전광역시 서구 용소로 16, 103호",영업중
328,예미지웰컴공인중개사사무소,"대전광역시 서구 관저중로 33, 상가 101호(관저동, 관저예미지)",영업중
329,효성공인중개사사무소,"대전광역시 서구 도산로 11, 상가 108호 (도마1동, 효성타운(아))",영업중
330,뉴대성공인중개사사무소,"대전광역시 서구 둔산남로105번길 18, 1층 (둔산1동)",영업중
331,영토공인중개사사무소,"대전광역시 서구 관저동로90번길 47, 분산상가 102호(관저2동,느리울(아))",영업중
332,롯데공인중개사사무소,"대전광역시 서구 신갈마로 46, 상가 106호(내동,롯데(아))",영업중
333,희망공인중개사사무소,"대전광역시 서구 계룡로342번길 80, 1층 101호(갈마동)",영업중
334,토마토공인중개사사무소,대전광역시 서구 변동중로 68-1(변동),영업중
335,배재공인중개사사무소,"대전광역시 서구 사마1길 71, 101호(도마동)",영업중
336,대전크로바공인중개사사무소,"대전광역시 서구 둔산로 155, 상가114호(둔산1동,크로바(아))",영업중
337,롯데합동공인중개사사무소,"대전광역시 서구 신갈마로 46, 상가108호(내동,롯데(아))",영업중
338,대아공인중개사사무소,"대전광역시 서구 배재로 185, 상가 103호(도마2동,대아(아))",영업중
339,명인공인중개사사무소,"대전광역시 서구 청사로 70, 상가 106호(월평3동,누리(아))",영업중
340,둔산114공인중개사사무소,"대전광역시 서구 둔산로 133, 112호(둔산1동,현대아이텔)",영업중
341,광명랜드공인중개사사무소,"대전광역시 서구 도솔5길 96, 가동 103호(도마동)",영업중
342,아르누보팰리스예지공인중개사사무소,"대전광역시 서구 둔산중로 20, 123호(탄방동,아르누보팰리스)",영업중
343,가수원삼성공인중개사사무소,대전광역시 서구 가수원중로 44-13(가수원동),영업중
344,해송공인중개사사무소,"대전광역시 서구 계백로860번길 72, 1층 101호(관저동)",영업중
345,부동산천국공인중개사사무소,"대전광역시 서구 도산로403번길 21, 324호(탄방동, 전자타운)",영업중
346,오션공인중개사사무소,"대전광역시 서구 도안동로11번길 42, 1층 106호(도안동)",영업중
347,해오름부동산중개사무소,"대전광역시 서구 월평로48번길 8, 1층(월평동)",영업중
348,코리아공인중개사사무소,대전광역시 서구 탄방로 49-3(탄방동),영업중
349,도안호반탑공인중개사사무소,"대전광역시 서구 원도안로 100, 상가동 105호(도안동, 도안 베르디움)",영업중
350,대한경매공인중개사사무소,"대전광역시 서구 둔산로31번길 10-23, 701호(둔산2동)",영업중
351,우미타운공인중개사사무소,"대전광역시 서구 도안동로 77, 상가동 117호(도안동, 도안18단지 린풀하우스)",영업중
352,로얄공인중개사사무소,"대전광역시 서구 배재로 155-7, 상가 14호(도마2동,경남(아))",영업중
353,땅땅공인중개사사무소,대전광역시 서구 구봉산북로7번길 70-17(관저동),영업중
354,신사공인중개사사무소,"대전광역시 서구 둔산중로58번길 29, 103호(둔산동, 센트럴하이브리드)",영업중
355,부동산코리아공인중개사사무소,"대전광역시 서구 도마로 60, 상가6호(도마1동,삼정하이츠)",영업중
356,(주)성윤부동산중개,"대전광역시 서구 둔산남로 97, 401호(둔산1동)",영업중
357,미래N공인중개사사무소,"대전광역시 서구 구봉로131번길 37, 112호(관저동)",영업중
358,웰빙공인중개사사무소,대전광역시 서구 탄방로7번길 23(탄방동),영업중
359,한신공인중개사사무소,"대전광역시 서구 계룡로536번길 9, 상가101호(괴정동,한신(아))",영업중
360,내집마련커뮤니티부동산중개,"대전광역시 서구 원도안로 257, 1층(도안동)",영업중
361,모닝공인중개사사무소,"대전광역시 서구 계룡로629번길 62, 모닝갤러리빌딩 104호",영업중
362,알짜공인중개사사무소,"대전광역시 서구 도솔로357번길 22, 1층(괴정동)",영업중
363,예미지공인중개사사무소,"대전광역시 서구 복수동로 21-20, 상가동 107호(복수동,초록마을2단지)",영업중
364,오동공인중개사사무소,대전광역시 서구 벌곡로 304(오동),영업중
365,대전공인중개사사무소,"대전광역시 서구 도솔로 511, 102호(용문동)",영업중
366,아이파크114공인중개사사무소,"대전광역시 서구 도안동로 183, 상가 105호(도안동,도안아이파크)",영업중
367,도안예미지공인중개사사무소,"대전광역시 서구 도안북로 125, 상가106호(도안동,예미지(아))",영업중
368,지산공인중개사사무소,"대전광역시 서구 도안동로11번길 42, 108호(도안동)",영업중
369,대주공인중개사사무소,"대전광역시 서구 관저동로90번길 16, 101호(관저2동,리슈빌타워)",영업중
370,달리는공인중개사사무소,"대전광역시 서구 계룡로416번길 54, 1층(갈마동)",영업중
371,샘머리공인중개사사무소,"대전광역시 서구 문예로 174, 주상가동 104호",영업중
372,경동공인중개사사무소,"대전광역시 서구 대덕대로 123, 1층(갈마2동)",영업중
373,관저주공공인중개사사무소,"대전광역시 서구 관저서로 24, 상가102호(관저2동,구봉마을9단지)",영업중
374,도안대주공인중개사사무소,"대전광역시 서구 관저북로13번길 5, 105호(관저동)",영업중
375,다와공인중개사사무소,"대전광역시 서구 갈마중로 6-11, 1층 102호(갈마동)",영업중
376,파트너공인중개사사무소,"대전광역시 서구 도안대로 60, 102호 (관저동)",영업중
377,신대신공인중개사사무소,"대전광역시 서구 원도안로224번길 47-31, 107호(도안동)",영업중
378,이지공인중개사사무소,"대전광역시 서구 갈마로 202, 1층 101호(내동)",영업중
379,갤러리하우스공인중개사사무소,"대전광역시 서구 탄방로 104, 1층 일부(용문동)",영업중
380,뉴광개토공인중개사사무소,대전광역시 서구 도산로 101(도마동),영업중
381,백조공인중개사사무소,대전광역시 서구 정림로 73(정림동),영업중
382,샘머리터공인중개사사무소,"대전광역시 서구 청사로 281, 주상가동 109호(둔산동, 샘머리아파트(샘머리코아))",영업중
383,비타민공인중개사사무소,"대전광역시 서구 용문로 59, 1층(용문동)",영업중
384,이레공인중개사사무소,대전광역시 서구 도마로 35(도마1동),영업중
385,상록공인중개사사무소,"대전광역시 서구 도산로393번길 48, 1층 102호(탄방동)",영업중
386,우미대지공인중개사사무소,"대전광역시 서구 용소로44번길 1, 1층 102호(도안동)",영업중
387,우미린행복공인중개사사무소,"대전광역시 서구 도안동로11번길 25, 1층 117호(도안동, 럭키프라자)",영업중
388,용문역공인중개사사무소,"대전광역시 서구 계룡로 661-1, 101호(용문동)",영업중
389,대전우성공인중개사사무소,"대전광역시 서구 갈마중로16번길 31, 1층(갈마2동)",영업중
390,대양공인중개사사무소,"대전광역시 서구 둔산중로 40, 1층 116호(둔산동,둔산더리치빌)",영업중
391,둔산해냄공인중개사사무소,"대전광역시 서구 청사로 70, 상가104호(월평3동,누리(아))",영업중
392,코오롱공인중개사사무소,"대전광역시 서구 동서대로 971, 1층",영업중
393,롯데랜드공인중개사사무소,"대전광역시 서구 신갈마로 46, 상가107호(내동,롯데아파트)",영업중
394,우미린부자공인중개사사무소,"대전광역시 서구 도안동로 77, 상가동 104호(도안동, 도안18단지린풀하우스)",영업중
395,스마일공인중개사사무소,대전광역시 서구 도마로 12(도마1동),영업중
396,관저복공인중개사사무소,"대전광역시 서구 관저북로51번길 7-7, 103호(관저1동)",영업중
397,도안우미린공인중개사사무소,"대전광역시 서구 용소로12번길 5, 104호(도안동)",영업중
398,조은공인중개사사무소,대전광역시 서구 벌곡로1379번길 6(가수원동),영업중
399,산내들공인중개사사무소,"대전광역시 서구 관저로 83, 상가동 105호(관저동, 신선마을아파트)",영업중
400,대전신세계공인중개사사무소,"대전광역시 서구 대덕대로161번길 7, 1층(갈마2동)",영업중
401,해돋이공인중개사사무소,대전광역시 서구 도산로 104-1(도마1동),영업중
402,목련새둔산공인중개사사무소,"대전광역시 서구 둔산남로 127, 중앙상가 103호(둔산동,목련(아))",영업중
403,청솔공인중개사사무소,"대전광역시 서구 둔산로 223, 청솔상가 104호(둔산3동,청솔(아))",영업중
404,신가람공인중개사사무소,"대전광역시 서구 둔산북로 215, 가람상가 102호(둔산3동,가람(아))",영업중
405,프로부동산공인중개사사무소,"대전광역시 서구 문정로2번길 51, 127호(탄방동, 시티빌3차)",영업중
406,호반랜드공인중개사사무소,"대전광역시 서구 원도안로 100, 상가106호(도안동,호반베르디움)",영업중
407,경성공인중개사사무소,"대전광역시 서구 대덕대로 150, 상가148동 202호(갈마동,큰마을아파트)",영업중
408,대원공인중개사사무소,대전광역시 서구 월평로 23(월평동),영업중
409,경성큰마을공인중개사사무소,"대전광역시 서구 대덕대로 150, 상가148동 202호(갈마동,큰마을(아))",영업중
410,뉴일출공인중개사사무소,대전광역시 서구 도산로 155(변동),영업중
411,녹원공인중개사사무소,"대전광역시 서구 둔산남로 30, 상가109호(둔산동,녹원(아))",영업중
412,진성공인중개사사무소,대전광역시 서구 복수동로52번길 38(복수동),영업중
413,도안에이스공인중개사사무소,"대전광역시 서구 도안북로 95, 103호(도안동)",영업중
414,킹마을랜드공인중개사사무소,"대전광역시 서구 대덕대로 150, 후문상가101호(갈마동,큰마을@)",영업중
415,타임공인중개사사무소,"대전광역시 서구 둔산로 14, 116호(둔산동,그린코아)",영업중
416,두영공인중개사사무소,"대전광역시 서구 신갈마로 51, 104동 B211호(내동,더리치빌아파트)",영업중
417,우미린해냄공인중개사사무소,"대전광역시 서구 용소로12번길 6-16, 101호(도안동)",영업중
418,샘머리타운공인중개사사무소,"대전광역시 서구 청사로 281, 분산상가105호(둔산동,샘머리@)",영업중
419,선경공인중개사사무소,"대전광역시 서구 탄방로 5, 1층(탄방동)",영업중
420,한마루공인중개사사무소,"대전광역시 서구 둔산북로 175, 상가동 106호(둔산동, 햇님아파트)",영업중
421,민들레공인중개사사무소,대전광역시 서구 도솔로 121(도마동),영업중
422,도안아이파크공인중개사사무소,"대전광역시 서구 도안동로 183, 상가동 103호(도안동,도안아이파크@)",영업중
423,골드공인중개사사무소,"대전광역시 서구 계룡로584번길 39, 1층(괴정동)",영업중
424,대성공인중개사사무소,"대전광역시 서구 가수원로 106, 7동 102호(가수원동, 은아아파트3단지)",영업중
425,엔젤공인중개사사무소,"대전광역시 서구 신갈마로195번길 10-1, 1층(갈마동)",영업중
426,엑스포골드공인중개사사무소,"대전광역시 서구 둔산대로117번길 66, 407호(만년동, 골드벤처타워)",영업중
427,영동부동산중개사무소,"대전광역시 서구 벌곡로1379번길 19, 1층(가수원동)",영업중
428,한국부동산공인중개사사무소,"대전광역시 서구 벌곡로 1353, 1층(가수원동)",영업중
429,원앙공인중개사사무소,"대전광역시 서구 관저북로 18, 104호(관저동,원앙마을4단지상가)",영업중
430,맑음래미안공인중개사사무소,"대전광역시 서구 가장로 106, 달리상가113호(가장동,삼성래미안아파트)",영업중
431,도안베스트공인중개사사무소,"대전광역시 서구 원도안로242번길 15, 104호(도안동)",영업중
432,자이탑공인중개사사무소,"대전광역시 서구 복수서로 15, 상가동 101호(복수동, 복수센트럴자이)",영업중
433,이재공인중개사사무소,"대전광역시 서구 둔산북로 175, 상가동 107호(둔산동, 햇님아파트)",영업중
434,성문공인중개사사무소,"대전광역시 서구 계룡로354번길 52, 1층(갈마동)",영업중
435,관저미소공인중개사사무소,"대전광역시 서구 관저북로51번길 24-4, 101호(관저동)",영업중
436,시청공인중개사사무소,"대전광역시 서구 둔산중로 19, B183호(탄방동,샤크존)",영업중
437,이창주공인중개사사무소,"대전광역시 서구 둔산중로78번길 40, 203호(둔산동)",영업중
438,뉴대전공인중개사사무소,"대전광역시 서구 둔산로 133, 1층 103호(둔산동,둔산현대아이텔)",영업중
439,향우공인중개사사무소,"대전광역시 서구 도마로 60, 상가1호(도마동,삼정하이츠)",영업중
440,동양부동산공인중개사사무소,"대전광역시 서구 용문로 46, 102호(괴정동)",영업중
441,해냄공인중개사사무소,"대전광역시 서구 도솔로 517, 102호(용문동)",영업중
442,카카오공인중개사사무소,"대전광역시 서구 동서대로 688, 113호 (도안동, 에프엠프라임3차)",영업중
443,탑시티공인중개사사무소,"대전광역시 서구 도안남로 145, 1층 101호",영업중
444,명공인중개사사무소,대전광역시 서구 가수원로 101(가수원동),영업중
445,탑스빌공인중개사사무소,"대전광역시 서구 문정로2번길 123, 101호(탄방동, 둔산시티빌5)",영업중
446,관저신태양부동산공인중개사사무소,"대전광역시 서구 관저남로12번길 7-9, 101호(관저동)",영업중
447,올레공인중개사사무소,"대전광역시 서구 괴정로76번길 5, 1층 102호(괴정동)",영업중
448,해수공인중개사사무소,대전광역시 서구 용소로44번길 36(도안동),영업중
449,햇님공인중개사사무소,"대전광역시 서구 남선로59번길 16, 1층(탄방동)",영업중
450,뉴하우스공인중개사사무소,"대전광역시 서구 문정로112번길 52, 102호(탄방동)",영업중
451,명진공인중개사사무소,"대전광역시 서구 복수남로 4, 1층(복수동)",영업중
452,한화공인중개사사무소,"대전광역시 서구 도산로 37-1, 1층(도마동)",영업중
453,관저더샵행복공인중개사사무소,"대전광역시 서구 구봉산북로 52, 상가동 104호(관저동, 관저더샵2차)",영업중
454,관저더샵로얄공인중개사사무소,"대전광역시 서구 구봉산북로 52, 상가동 105호(관저동, 관저더샵2차)",영업중
455,대전미라클공인중개사사무소,"대전광역시 서구 중반3길 11, 1층 코너",영업중
456,강남만년공인중개사사무소,"대전광역시 서구 만년남로 8, 상가동 105호(만년동, 상록수아파트)",영업중
457,관저더샵베스트공인중개사사무소,"대전광역시 서구 계백로860번길 72, 1층 101호(관저동)",영업중
458,아름다운공인중개사사무소,"대전광역시 서구 복수동로 21-19, 1층 103호(복수동,초록마을1단지상가동)",영업중
459,21목원공인중개사사무소,"대전광역시 서구 신갈마로 258, 1층(갈마동)",영업중
460,용문123공인중개사사무소,"대전광역시 서구 탄방로 112, 1층(용문동)",영업중
461,뉴매일공인중개사사무소,"대전광역시 서구 용문로 85, 1층(용문동)",영업중
462,가장공인중개사사무소,"대전광역시 서구 괴정로 138, 101호(가장동, 자미시티)",영업중
463,황소공인중개사사무소,"대전광역시 서구 정림동로 3, 1층 101호(정림동)",영업중
464,골든공인중개사사무소,"대전광역시 서구 가장로 46, 1층(괴정동)",영업중
465,부동산스토리공인중개사사무소,"대전광역시 서구 동서대로 994, 상가동 104호(내동, 서우아파트)",영업중
466,대웅공인중개사사무소,"대전광역시 서구 가수원로 106, 7동 105호(가수원동, 은아아파트3단지)",영업중
467,가수원미소공인중개사사무소,대전광역시 서구 가수원로 63-1(가수원동),영업중
468,코리안공인중개사사무소,"대전광역시 서구 도산로403번길 21, 446호",영업중
469,부동산타운공인중개사사무소,"대전광역시 서구 청사로 70, 상가동 103호(월평동,누리아파트)",영업중
470,도마일등공인중개사사무소,"대전광역시 서구 도솔로 22, 1층(도마동)",영업중
471,서광공인중개사사무소,"대전광역시 서구 갈마역로 6, 2층 203호",영업중
472,서구월평공인중개사사무소,"대전광역시 서구 계룡로231번길 17, 지하1층(월평동)",영업중
473,관저더샵공인중개사사무소,"대전광역시 서구 관저남로 9, 103호(관저동)",영업중
474,우성공인중개사사무소,"대전광역시 서구 정림로 11, 상가동 101호(정림동, 늘푸른아파트)",영업중
475,베누스공인중개사사무소,"대전광역시 서구 대덕대로168번길 90, 101호(갈마동,베누스타운)",영업중
476,향촌114공인중개사사무소,"대전광역시 서구 둔산로 15, 1층 112호(둔산동,향촌상가)",영업중
477,더샵포스코공인중개사사무소,"대전광역시 서구 계백로860번길 56, 101호(관저동)",영업중
478,황금알부동산중개사무소,"대전광역시 서구 원도안로207번길 8-28, 1층 102호(도안동)",영업중
479,가원공인중개사사무소,"대전광역시 서구 벌곡로1379번길 19, 1층(가수원동)",영업중
480,더샵행복공인중개사사무소,"대전광역시 서구 구봉산북로 52, 상가동 104호(관저동, 관저더샵2차)",영업중
481,진달래온누리공인중개사사무소,"대전광역시 서구 월평동로 45, 104호(월평동,진달래@상가)",영업중
482,꿈나무공인중개사사무소,"대전광역시 서구 청사로 253, 101호(둔산동, 꿈나무상가동)",영업중
483,관저더샵미래공인중개사사무소,"대전광역시 서구 관저로 13, 104호(관저동)",영업중
484,대전탑공인중개사사무소,"대전광역시 서구 관저중로64번길 64, 2동 107호(관저동)",영업중
485,가수원정다운공인중개사사무소,"대전광역시 서구 벌곡로1353번길 41, 1층(가수원동)",영업중
486,과기대공인중개사사무소,"대전광역시 서구 유등로17번길 142, 1층 101호(복수동)",영업중
487,수정타운공인중개사사무소,"대전광역시 서구 청사로 282, 수정타운 상가동 2층 213호(둔산동)",영업중
488,서우공인중개사사무소,"대전광역시 서구 동서대로 994, 서우아파트상가 104호(내동)",영업중
489,나우공인중개사사무소,"대전광역시 서구 신갈마로 175, 1층 101호(갈마동)",영업중
490,원도안공인중개사사무소,"대전광역시 서구 원도안로207번길 7-21, 1층 101호(도안동)",영업중
491,관저광장공인중개사사무소,"대전광역시 서구 관저중로64번길 63, 1층 108호(관저동, 블루)",영업중
492,자이미소공인중개사사무소,"대전광역시 서구 복수서로 15, 상가동 108호(복수동, 복수센트럴자이)",영업중
493,피노키오공인중개사사무소,"대전광역시 서구 대덕대로168번길 44, 1층 103호.104호(갈마동, 나이스타운)",영업중
494,관저행운공인중개사사무소,"대전광역시 서구 계백로860번길 56, 1층 101호(관저동)",영업중
495,퍼스트트리풀공인중개사사무소,"대전광역시 서구 원도안로257번길 62, 1층",영업중
496,포스코명경공인중개사사무소,"대전광역시 서구 관저로 13, 101호(관저동)",영업중
497,법원청사공인중개사사무소,"대전광역시 서구 대덕대로 366, 103호(만년동, 해가든센트럴파크)",영업중
498,다온숲공인중개사사무소,"대전광역시 서구 구봉산북로 165, 상가동 101호(관저동, 다온숲3단지)",영업중
499,수공인중개사사무소,"대전광역시 서구 둔산로 130, 7층 711호(둔산동, 대덕프라자)",영업중
500,도마e-편한공인중개사사무소,"대전광역시 서구 도산로 37, 1층(도마동)",영업중
501,관저마치공인중개사사무소,"대전광역시 서구 구봉로131번길 17, 1층 105호(관저동, 비체빌딩)",영업중
502,래미안풍년공인중개사사무소,"대전광역시 서구 가장로 107, 별리상가 1층 105호(가장동, 삼성래미안@)",영업중
503,더존공인중개사사무소,"대전광역시 서구 한밭대로570번길 26, 6층 561호",영업중
504,복수마루공인중개사사무소,"대전광역시 서구 복수남로 51, 1층 103호(복수동)",영업중
505,관저예미지공인중개사사무소,"대전광역시 서구 관저중로 33, 상가 103호(관저동, 관저예미지)",영업중
506,금봉공인중개사사무소,"대전광역시 서구 대덕대로167번길 15, 1층 101호(갈마동, 아트리움)",영업중
507,정민근공인중개사사무소,"대전광역시 서구 문정로 26, 1층 103호, 2층 202호(탄방동)",영업중
508,조이공인중개사사무소,"대전광역시 서구 원도안로207번길 8-24, 1층 104호(도안동)",영업중
509,새나래김광수공인중개사사무소,"대전광역시 서구 둔산북로 121, 1511호(둔산동,아너스빌)",영업중
510,스마트공인중개사사무소,"대전광역시 서구 가장로 33, 1층(괴정동)",영업중
511,도솔로공인중개사사무소,"대전광역시 서구 도솔로 56, 1층(도마동)",영업중
512,나비가하이플러스공인중개사사무소,"대전광역시 서구 둔산중로14번길 36, 114호",영업중
513,부동산114공인중개사사무소,"대전광역시 서구 청사로 70, 누리아파트상가 103호",영업중
514,흑석전원공인중개사사무소,"대전광역시 서구 벌곡로 652, 1층 좌측 일부(흑석동)",영업중
515,도안베르디움공인중개사사무소,"대전광역시 서구 원도안로 100, 도안베르디움@ 제401동 상가동 106호(도안동)",영업중
516,둔산미소공인중개사사무소,"대전광역시 서구 둔산중로 19, 1층 비164호(탄방동, 샤크존)",영업중
517,목운공인중개사사무소,"대전광역시 서구 괴정로166번길 6, 1층 일부(가장동)",영업중
518,다산공인중개사사무소,"대전광역시 서구 괴정로134번길 3, 1층 102호(가장동)",영업중
519,한민국공인중개사사무소,"대전광역시 서구 신갈마로 176, 108호(갈마동)",영업중
520,가나공인중개사사무소,"대전광역시 서구 둔산남로 127, 1층 106-1호(둔산동, 목련@중앙상가)",영업중
521,관저4지구부동산중개사무소,"대전광역시 서구 구봉산북로21번길 47, 1층 101호(관저동)",영업중
522,새희망공인중개사사무소,"대전광역시 서구 도산로393번길 58, 1층 102호(탄방동)",영업중
523,스윗트홈공인중개사사무소,"대전광역시 서구 계룡로354번길 78, 1층 101호(갈마동)",영업중
524,리치타운공인중개사사무소,"대전광역시 서구 대덕대로 9-1, 1층",영업중
525,관저양지공인중개사사무소,"대전광역시 서구 관저동로105번길 89, 1층 동측(관저동)",영업중
526,도안우미린정문공인중개사사무소,"대전광역시 서구 도안동로 77, 상가동 123호(도안동, 도안18단지 린풀하우스)",영업중
527,부동산뱅크공인중개사사무소,"대전광역시 서구 도안동로11번길 45, 127호(도안동)",영업중
528,나라부동산공인중개사사무소,"대전광역시 서구 괴정로166번길 6, 1층(가장동)",영업중
529,둔산탑공인중개사사무소,"대전광역시 서구 대덕대로167번길 15, 102호(갈마동, 아트리움)",영업중
530,도안롯데공인중개사사무소,"대전광역시 서구 원도안로242번길 6, 1층 101호(도안동)",영업중
531,e초이스공인중개사사무소,"대전광역시 서구 도산로 276, 1층 103호(가장동)",영업중
532,녹원2공인중개사사무소,"대전광역시 서구 둔산남로 30, 상가동 109호(둔산동, 녹원아파트)",영업중
533,희망찬공인중개사사무소,"대전광역시 서구 도산로 29, 1층(도마동)",영업중
534,맨하탄부동산공인중개사사무소,"대전광역시 서구 용문로 40, 101호(괴정동)",영업중
535,새뜰공인중개사사무소,"대전광역시 서구 월평로 4, 2층 203호(월평동)",영업중
536,아이파크원공인중개사사무소,"대전광역시 서구 도안동로 183, 아이파크상가 104-2호(도안동,도안아이파크)",영업중
537,가람공인중개사사무소,"대전광역시 서구 둔산북로 215, 가람아파트 상가동 1층 107호(둔산동)",영업중
538,라이프공인중개사,"대전광역시 서구 둔산북로 22, 1층 162호(둔산동,둔산라이프종합상가)",영업중
539,동산타운공인중개사사무소,"대전광역시 서구 갈마중로7번길 42, 1층 101호(갈마동, 동산맨션상가동)",영업중
540,신무궁화공인중개사사무소,"대전광역시 서구 만년남로3번길 55, 1층 101호(만년동)",영업중
541,국화신동아공인중개사사무소,"대전광역시 서구 둔산로 201, 1층 101호(둔산동, 국화@신동아상가)",영업중
542,용문해가든공인중개사사무소,"대전광역시 서구 도솔로357번길 22, 1층(괴정동)",영업중
543,뉴월드공인중개사사무소,"대전광역시 서구 복수동로51번길 38, 1층 102호(복수동)",영업중
544,골든벨공인중개사사무소,"대전광역시 서구 배재로91번길 21, 상가 101호(도마동, 도마아파트)",영업중
545,기산랜드공인중개사사무소,"대전광역시 서구 둔산중로58번길 29, 103호(둔산동, 센트럴하이브리드)",영업중
546,한일공인중개사사무소,"대전광역시 서구 대덕대로317번길 20, 357호~364호",영업중
547,길잡이공인중개사사무소,"대전광역시 서구 도솔로 55, 1층(도마동)",영업중
548,관저효성해링턴공인중개사사무소,"대전광역시 서구 관저동로 12, 상가 204호(관저동, 효성해링턴플레이스)",영업중
549,힐링공인중개사사무소,"대전광역시 서구 도솔로 408, 1층 101호(탄방동)",영업중
550,뉴타임공인중개사사무소,"대전광역시 서구 대덕대로 21, 1층(내동)",영업중
551,복돼지공인중개사사무소,"대전광역시 서구 도산로370번길 64, 1층 101호(용문동)",영업중
552,갈마신세계공인중개사사무소,"대전광역시 서구 신갈마로 95, 2층 201-1, 2호(갈마동, 갈마아파트 상가동)",영업중
